timestamp,model,num_queries,num_unique_passages,alpha,ndcg_float,mrr_float,ndcg_int8,mrr_int8,semantic_time_float,semantic_time_int8
2026-02-12T20:06:32.409931,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.0,0.5701116358539483,0.43635057471264294,0.5701116358539483,0.43635057471264294,0.03457729978254065,0.019168399623595178
2026-02-12T20:06:40.406561,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.1,0.5842225641189757,0.45405643738976964,0.5840542942783281,0.45390363680593454,0.03473710018442944,0.019195399014279246
2026-02-12T20:06:48.507469,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.2,0.6015296094207145,0.4761448640758974,0.5996122836202126,0.4736932129173497,0.035115999460686,0.01931770029477775
2026-02-12T20:06:56.486218,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.30000000000000004,0.6186151532597903,0.4983598643799785,0.6151673351366308,0.4937484795961798,0.034712300286628306,0.019081499718595296
2026-02-12T20:07:04.309419,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.4,0.6377321409270102,0.5231116584564854,0.6353299471363505,0.5200119351699805,0.033740799699444324,0.01825770054711029
2026-02-12T20:07:12.438761,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.5,0.6512217332283069,0.5404727695675965,0.6492359478038933,0.5378899835796381,0.034758599067572504,0.019581300672143698
2026-02-12T20:07:20.346058,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.6000000000000001,0.658430252952257,0.5494876239129108,0.6591831608416951,0.5506450313203183,0.03399879997596145,0.018908000958617777
2026-02-12T20:07:28.376847,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.7000000000000001,0.668103657163596,0.5618321626223921,0.6665467343345695,0.5598533570516325,0.034555401012767106,0.01953300053719431
2026-02-12T20:07:36.550160,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.8,0.6737792708517141,0.5689267469439879,0.6722521037018853,0.5668620385574401,0.03526599955512211,0.02004260109970346
2026-02-12T20:07:44.645777,multi-qa-MiniLM-L6-cos-v1,1044,8611,0.9,0.6775281122495469,0.573773794319771,0.676225357720015,0.572040533965821,0.03447160014184192,0.019377198826987296
2026-02-12T20:07:52.517039,multi-qa-MiniLM-L6-cos-v1,1044,8611,1.0,0.6780797279384071,0.5747795414462079,0.6778240930790393,0.5744689989661252,0.03346100030466914,0.018770199618302286
